Key,Difference
MACCSFP38,-10.9617
MACCSFP108,-8.4192
MACCSFP47,-8.0721
MACCSFP77,-7.4862
MACCSFP160,-6.8467
MACCSFP149,-6.2324
MACCSFP57,-4.424
MACCSFP52,-3.9538
MACCSFP106,-3.5229
MACCSFP64,-3.5228
MACCSFP93,-3.4368
MACCSFP66,-3.4214
MACCSFP80,-2.7996
MACCSFP19,-2.4646
MACCSFP112,-2.4585
MACCSFP41,-2.229
MACCSFP141,-1.8366
MACCSFP59,-1.8241
MACCSFP46,-1.615
MACCSFP116,-1.3616
MACCSFP25,-1.2999
MACCSFP65,-0.9681
MACCSFP166,-0.9572
MACCSFP40,-0.8989
MACCSFP11,-0.809
MACCSFP74,-0.7847
MACCSFP48,-0.7471
MACCSFP39,-0.7471
MACCSFP28,-0.6886
MACCSFP105,-0.6753
MACCSFP78,-0.6681
MACCSFP115,-0.6509
MACCSFP89,-0.3882
MACCSFP30,-0.2102
MACCSFP14,-0.1483
MACCSFP49,-0.1387
MACCSFP20,-0.1144
MACCSFP119,-0.0593
MACCSFP31,-0.0572
MACCSFP8,-0.0373
MACCSFP68,-0.0319
MACCSFP13,-0.0253
MACCSFP18,-0.016
MACCSFP22,0.0
MACCSFP165,0.0319
MACCSFP3,0.0612
MACCSFP45,0.0857
MACCSFP84,0.0964
MACCSFP121,0.1469
MACCSFP101,0.1749
MACCSFP63,0.198
MACCSFP56,0.198
MACCSFP163,0.2016
MACCSFP161,0.2235
MACCSFP76,0.2752
MACCSFP26,0.2766
MACCSFP50,0.3039
MACCSFP81,0.3306
MACCSFP17,0.3545
MACCSFP156,0.5229
MACCSFP114,0.5997
MACCSFP88,0.6033
MACCSFP34,0.658
MACCSFP53,0.6917
MACCSFP158,0.9419
MACCSFP142,0.9709
MACCSFP24,0.9977
MACCSFP27,1.0264
MACCSFP23,1.0643
MACCSFP42,1.2236
MACCSFP137,1.2861
MACCSFP134,1.4648
MACCSFP37,1.467
MACCSFP162,1.4856
MACCSFP83,1.4977
MACCSFP96,1.5975
MACCSFP111,1.6391
MACCSFP153,1.7023
MACCSFP148,1.7869
MACCSFP124,1.9726
MACCSFP120,1.9823
MACCSFP147,1.9923
MACCSFP118,2.0082
MACCSFP99,2.0243
MACCSFP92,2.1456
MACCSFP122,2.2533
MACCSFP100,2.261
MACCSFP103,2.2707
MACCSFP75,2.3182
MACCSFP107,2.3312
MACCSFP70,2.494
MACCSFP61,2.5672
MACCSFP43,2.5751
MACCSFP51,2.6497
MACCSFP145,2.6966
MACCSFP58,2.7462
MACCSFP55,2.7715
MACCSFP60,2.7715
MACCSFP71,2.846
MACCSFP73,3.0348
MACCSFP123,3.1283
MACCSFP110,3.2636
MACCSFP131,3.3364
MACCSFP95,3.3553
MACCSFP54,3.356
MACCSFP129,3.461
MACCSFP94,3.5012
MACCSFP85,3.5284
MACCSFP102,3.5323
MACCSFP150,3.7864
MACCSFP128,4.0595
MACCSFP144,4.327
MACCSFP72,4.3465
MACCSFP155,4.3904
MACCSFP79,4.4297
MACCSFP86,4.4478
MACCSFP98,4.4565
MACCSFP69,4.5744
MACCSFP125,4.6635
MACCSFP62,4.7797
MACCSFP67,4.8971
MACCSFP109,4.9043
MACCSFP138,4.9282
MACCSFP130,5.4473
MACCSFP140,5.5442
MACCSFP151,5.9222
MACCSFP82,5.9404
MACCSFP16,6.3891
MACCSFP36,6.505
MACCSFP33,6.88
MACCSFP32,6.91
MACCSFP117,7.2255
MACCSFP87,7.3196
MACCSFP104,7.7497
MACCSFP146,8.013
MACCSFP164,8.1228
MACCSFP135,8.1976
MACCSFP139,8.3643
MACCSFP132,8.7693
MACCSFP91,8.9177
MACCSFP136,8.9857
MACCSFP154,9.2497
MACCSFP97,9.4425
MACCSFP157,9.8221
MACCSFP126,10.21
MACCSFP113,10.4079
MACCSFP152,10.7592
MACCSFP133,10.9079
MACCSFP90,11.484
MACCSFP159,14.5269
MACCSFP143,17.4973
MACCSFP127,17.4973
